AGCHM_ENG_NM,LIVESTCK_PISN_RATG_ENG,ECOLGY_PISN_RATG_ENG,livestock_level,ecology_level,SMILES,REFINE_WGS84_LAT,REFINE_WGS84_LOGT,is_valid,PURPOS_NM,DEASEINS_DTLS,CROPS_DTLS
Acetamiprid+emamectin benzoate,Avg Toxicity (III),Rank II,0.1,0.25,CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl.CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC)OC)OC)C)C.C1=CC=C(C=C1)C(=O)O,37.4338041322,127.1700933423,True,살충제,복숭아순나방,사과
Benthiavalicarb-isopropyl,Low Toxicity (IV),Rank III,0.01,0.0625,CC(C)C(C(=O)NC(C)C1=NC2=C(S1)C=C(C=C2)F)NC(=O)OC(C)C,37.5797519232,126.8679487476,True,살균제,노균병,배추
fluquinconazole+Prochloraz-manganese,Low Toxicity (IV),Rank II,0.01,0.25,C1=CC2=C(C=C1F)C(=O)N(C(=N2)N3C=NC=N3)C4=C(C=C(C=C4)Cl)Cl.[SMILES_NOT_FOUND: Prochloraz-manganese],37.5797519232,126.8679487476,False,살균제,부란병,사과
Cyclosulfamuron,Low Toxicity (IV),Rank III,0.01,0.0625,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)NC2=CC=CC=C2C(=O)C3CC3)OC,,,True,제초제,일년생잡초,잔디
emamectin benzoate,Low Toxicity (IV),Rank I,0.01,1.0,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC)OC)OC)C)C.C1=CC=C(C=C1)C(=O)O,37.4339530685,127.1701632418,True,살충제,파밤나방,배추
thiophanate-methyl,Low Toxicity (IV),Rank III,0.01,0.0625,COC(=O)NC(=S)NC1=CC=CC=C1NC(=S)NC(=O)OC,37.2736954342,126.9533508895,True,살균제,잿빛곰팡이병,부추
pendimethalin,Avg Toxicity (III),Rank II,0.1,0.25,CCC(CC)NC1=C(C=C(C(=C1[N+](=O)[O-])C)C)[N+](=O)[O-],37.2736954342,126.9533508895,True,제초제,잡초,고추
Pencycuron,Low Toxicity (IV),Rank III,0.01,0.0625,C1CCC(C1)N(CC2=CC=C(C=C2)Cl)C(=O)NC3=CC=CC=C3,37.2736954342,126.9533508895,True,살균제,잎집무늬마름병,벼
Napropamide,Low Toxicity (IV),Rank III,0.01,0.0625,CCN(CC)C(=O)C(C)OC1=CC=CC2=CC=CC=C21,37.2736954342,126.9533508895,True,제초제,일년생잡초,배추
bentazone,Avg Toxicity (III),Rank III,0.1,0.0625,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O,37.2736954342,126.9533508895,True,제초제,일년생잡초(광엽),옥수수
Cyhalofop-butyl+Pyribenzoxim,Avg Toxicity (III),Rank II,0.1,0.25,CCCCOC(=O)C(C)OC1=CC=C(C=C1)OC2=C(C=C(C=C2)C#N)F.COC1=CC(=NC(=N1)OC2=C(C(=CC=C2)OC3=NC(=CC(=N3)OC)OC)C(=O)ON=C(C4=CC=CC=C4)C5=CC=CC=C5)OC,37.2736954342,126.9533508895,True,제초제,난방제잡초(피),기계이앙벼(어린모)
Thiamethoxam,Avg Toxicity (III),Rank III,0.1,0.0625,CN1COCN(C1=N[N+](=O)[O-])CC2=CN=C(S2)Cl,37.4338041322,127.1700933423,True,살충제,등얼룩풍뎅이,잔디
Cyflumetofen,Low Toxicity (IV),Rank I,0.01,1.0,CC(C)(C)C1=CC=C(C=C1)C(C#N)(C(=O)C2=CC=CC=C2C(F)(F)F)C(=O)OCCOC,37.5797519232,126.8679487476,True,살충제,귤응애,감귤
Azoxystrobin+Tebuconazole,Avg Toxicity (III),Rank III,0.1,0.0625,COC=C(C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)C(=O)OC.CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,37.2821296811,127.1146621495,True,살균제,역병,고추(단고추류포함)
Dinotefuran+Etofenprox,Low Toxicity (IV),Rank III,0.01,0.0625,CNC(=N[N+](=O)[O-])NCC1CCOC1.CCOC1=CC=C(C=C1)C(C)(C)COCC2=CC(=CC=C2)OC3=CC=CC=C3,37.3834773323,127.1227388669,True,살충제,청동방아벌레,감자
Magnesium phosphide,High Toxicity (II),Rank I,1.0,1.0,[Mg+2].[Mg+2].[Mg+2].[P-3].[P-3],37.3834691837,127.1226706167,True,살충제,북방수염하늘소,잣나무
Orysastrobin+probenazole+Fipronil,Low Toxicity (IV),Rank II,0.01,0.25,CC(=NOC)C(=NOC)C(=NOCC1=CC=CC=C1C(=NOC)C(=O)NC)C.C=CCOC1=NS(=O)(=O)C2=CC=CC=C21.C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F,37.3834691837,127.1226706167,True,살균.살충제,세균벼알마름병,벼
Bromobutide+Carfentrazone-ethyl+Penoxsulam,Low Toxicity (IV),Rank III,0.01,0.0625,CC(C)(C)C(C(=O)NC(C)(C)C1=CC=CC=C1)Br.CCOC(=O)C(CC1=CC(=C(C=C1Cl)F)N2C(=O)N(C(=N2)C)C(F)F)Cl.COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC,37.3834691837,127.1226706167,True,제초제,"일년생잡초 (피, 물달개비, 밭뚝외풀, 알방동사니, 자귀풀) 및 다년생잡초(올방개, 올챙이고랭이, 벗풀)",기계이앙벼(어린모)
Benfuresate+Bromobutide+Penoxsulam,Low Toxicity (IV),Rank III,0.01,0.0625,CCS(=O)(=O)OC1=CC2=C(C=C1)OCC2(C)C.CC(C)(C)C(C(=O)NC(C)(C)C1=CC=CC=C1)Br.COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC,37.3834691837,127.1226706167,True,제초제,"일년생잡초(피,물달개비,밭뚝외풀,알방동사니,자귀풀) 및 다년생잡초(올방개,올챙이고랭이,벗풀)",기계이앙벼(어린모)
benzobicyclon+pyraclonil,Low Toxicity (IV),Rank III,0.01,0.0625,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2=C(C3CCC(C3)C2=O)SC4=CC=CC=C4)Cl.CN(CC#C)C1=C(C=NN1C2=NN3CCCCC3=C2Cl)C#N,37.3834691837,127.1226706167,True,제초제,"일년생잡초(피,물달개비,밭뚝외풀,알방동사니)",기계이앙벼(어린모)
Buprofezin+Pyrifluquinazon,Low Toxicity (IV),Rank III,0.01,0.0625,CC(C)N1C(=NC(C)(C)C)SCN(C1=O)C2=CC=CC=C2.CC(=O)N1C2=C(CN(C1=O)NCC3=CN=CC=C3)C=C(C=C2)C(C(F)(F)F)(C(F)(F)F)F,37.3834691837,127.1226706167,True,살충제,가루깍지벌레,배
Imazosulfuron+Mefenacet+Tefuryltrione,Low Toxicity (IV),Rank III,0.01,0.0625,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(N=C3N2C=CC=C3)Cl)OC.CN(C1=CC=CC=C1)C(=O)COC2=NC3=CC=CC=C3S2.CS(=O)(=O)C1=C(C(=C(C=C1)C(=O)C2C(=O)CCCC2=O)Cl)COCC3CCCO3,37.3834691837,127.1226706167,True,제초제,"일년생잡초 (피, 물달개비, 밭뚝외풀, 알방동사니, 자귀풀) 및 다년생잡초(올방개, 올챙이고랭이, 벗풀)",기계이앙벼(어린모)
Dithianon,Low Toxicity (IV),Rank I,0.01,1.0,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)SC(=C(S3)C#N)C#N,37.3834691837,127.1226706167,True,살균제,검은별무늬병,매실
Pyraclostrobin+Tebuconazole,Low Toxicity (IV),Rank I,0.01,1.0,COC(=O)N(C1=CC=CC=C1COC2=NN(C=C2)C3=CC=C(C=C3)Cl)OC.CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,37.303252115,126.7681510928,True,살균제,탄저병,복숭아
Flufenoxuron+sulfoxaflor,Low Toxicity (IV),Rank III,0.01,0.0625,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=C(C=C(C=C2)OC3=C(C=C(C=C3)C(F)(F)F)Cl)F)F.CC(C1=CN=C(C=C1)C(F)(F)F)S(=NC#N)(=O)C,37.303252115,126.7681510928,True,살충제,조팝나무진딧물,사과
Difenoconazole+Fluxapyroxad,Low Toxicity (IV),Rank I,0.01,1.0,CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl.CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC=CC=C2C3=CC(=C(C(=C3)F)F)F,37.3834691837,127.1226706167,True,살균제,흑색썩음균핵병,양파
Orysastrobin+Fipronil,Low Toxicity (IV),Rank III,0.01,0.0625,CC(=NOC)C(=NOC)C(=NOCC1=CC=CC=C1C(=NOC)C(=O)NC)C.C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F,37.3834691837,127.1226706167,True,살균.살충제,벼잎벌레,벼
Flusulfamide+Fluxapyroxad,Low Toxicity (IV),Rank I,0.01,1.0,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NS(=O)(=O)C2=CC(=C(C=C2)Cl)C(F)(F)F.CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC=CC=C2C3=CC(=C(C(=C3)F)F)F,37.3834691837,127.1226706167,True,살균제,밑둥썩음병,배추
Benzobicyclon+pyrimisulfan,Low Toxicity (IV),Rank III,0.01,0.0625,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2=C(C3CCC(C3)C2=O)SC4=CC=CC=C4)Cl.COCC1=C(C(=CC=C1)C(C2=NC(=CC(=N2)OC)OC)O)NS(=O)(=O)C(F)F,37.303252115,126.7681510928,True,제초제,"일년생잡초(피,가막사리,물달개비,밭둑외풀,여뀌바늘,자귀풀) 및 다년생잡초(벗풀,올방개,올챙이고랭이)",기계이앙벼(어린모)
Etridiazole+Thifluzamide,Low Toxicity (IV),Rank II,0.01,0.25,CCOC1=NC(=NS1)C(Cl)(Cl)Cl.CC1=NC(=C(S1)C(=O)NC2=C(C=C(C=C2Br)OC(F)(F)F)Br)C(F)(F)F,,,True,살균제,잘록병,인삼
fluxapyroxad,Low Toxicity (IV),Rank I,0.01,1.0,CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC=CC=C2C3=CC(=C(C(=C3)F)F)F,37.3834773323,127.1227388669,True,살균제,흑색썩음균핵병,양파
Ethofumesate,Low Toxicity (IV),Rank III,0.01,0.0625,CCOC1C(C2=C(O1)C=CC(=C2)OS(=O)(=O)C)(C)C,37.2681405706,126.9870801562,True,제초제,일년생잡초,켄터키블루그라스
Azoxystrobin+Cyproconazole,Low Toxicity (IV),Rank II,0.01,0.25,COC=C(C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)C(=O)OC.CC(C1CC1)C(CN2C=NC=N2)(C3=CC=C(C=C3)Cl)O,,,True,살균제,누른잎마름병,한국잔디
pyribencarb,Low Toxicity (IV),Rank II,0.01,0.25,CC1=NC(=CC=C1)CON=C(C)C2=CC(=C(C=C2)Cl)CNC(=O)OC,37.303252115,126.7681510928,True,살균제,탄저병,사과
Azoxystrobin+Chlorothalonil,Avg Toxicity (III),Rank I,0.1,1.0,COC=C(C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)C(=O)OC.C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,37.303252115,126.7681510928,True,살균제,검은별무늬병,오이
Bromobutide+Pyraclonil+Pyrazosulfuron-ethyl,Low Toxicity (IV),Rank III,0.01,0.0625,CC(C)(C)C(C(=O)NC(C)(C)C1=CC=CC=C1)Br.CN(CC#C)C1=C(C=NN1C2=NN3CCCCC3=C2Cl)C#N.CCOC(=O)C1=C(N(N=C1)C)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,37.3834691837,127.1226706167,True,제초제,"일년생잡초(피, 물달개비, 밭뚝외풀, 알동방사니) 및 다년생잡초(벗풀, 올챙이고랭이, 올방개)",기계이앙벼(어린모)
Bromobutide+Pyrazosulfuron-ethyl+Pyriminobac-methyl,Low Toxicity (IV),Rank III,0.01,0.0625,CC(C)(C)C(C(=O)NC(C)(C)C1=CC=CC=C1)Br.CCOC(=O)C1=C(N(N=C1)C)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC.CC(=NOC)C1=C(C(=CC=C1)OC2=NC(=CC(=N2)OC)OC)C(=O)OC,37.303252115,126.7681510928,True,제초제,일년생 및 다년생잡초,담수직파벼(표면산파)
Azimsulfuron+Bromobutide+Mefenacet,Low Toxicity (IV),Rank III,0.01,0.0625,CN1C(=C(C=N1)C2=NN(N=N2)C)S(=O)(=O)NC(=O)NC3=NC(=CC(=N3)OC)OC.CC(C)(C)C(C(=O)NC(C)(C)C1=CC=CC=C1)Br.CN(C1=CC=CC=C1)C(=O)COC2=NC3=CC=CC=C3S2,37.3834691837,127.1226706167,True,제초제,"일년생잡초(피, 물달개비, 밭뚝외풀, 자귀풀, 가막사리, 여뀌, 알방동사니) 및 다년생잡초(벗풀, 올챙이고랭이, 올방개)",기계이앙벼(어린모)
Aluminium phosphide,High Toxicity (II),Rank III,1.0,0.0625,[SMILES_NOT_FOUND: Aluminium phosphide],37.3834691837,127.1226706167,False,살충제,검역해충,건채류
Ferimzone+validamycin A,Avg Toxicity (III),Rank III,0.1,0.0625,CC1=CC=CC=C1C(=NNC2=NC(=CC(=N2)C)C)C.C1C(C(C(C(C1NC2C=C(C(C(C2O)O)O)CO)O)O)OC3C(C(C(C(O3)CO)O)O)O)CO,37.3834691837,127.1226706167,True,살균제,목도열병(무인항공기),벼
Benfuresate+pyrimisulfan,Low Toxicity (IV),Rank III,0.01,0.0625,CCS(=O)(=O)OC1=CC2=C(C=C1)OCC2(C)C.COCC1=C(C(=CC=C1)C(C2=NC(=CC(=N2)OC)OC)O)NS(=O)(=O)C(F)F,37.303252115,126.7681510928,True,제초제,"일년생잡초(피,가막사리,물달개비,밭뚝외풀,여뀌바늘) 및 다년생잡초(벗풀,올방개,올챙이고랭이)",기계이앙벼(어린모)
Prochloraz+Triflumizole,Avg Toxicity (III),Rank II,0.1,0.25,CCCN(CCOC1=C(C=C(C=C1Cl)Cl)Cl)C(=O)N2C=CN=C2.CCCOCC(=NC1=C(C=C(C=C1)Cl)C(F)(F)F)N2C=CN=C2,37.3834691837,127.1226706167,True,살균제,종자소독,벼
metazosulfuron,Low Toxicity (IV),Rank III,0.01,0.0625,CC1CON=C(O1)C2=C(N(N=C2Cl)C)S(=O)(=O)NC(=O)NC3=NC(=CC(=N3)OC)OC,37.3834691837,127.1226706167,True,제초제,"후기 난방제잡초(벗풀, 새섬매자기, 올방개)",기계이앙벼(어린모)
Isotianil+Chlorantraniliprole+Clothianidin,Low Toxicity (IV),Rank III,0.01,0.0625,C1=CC=C(C(=C1)C#N)NC(=O)C2=C(C(=NS2)Cl)Cl.CC1=CC(=CC(=C1NC(=O)C2=CC(=NN2C3=C(C=CC=N3)Cl)Br)C(=O)NC)Cl.CNC(=N[N+](=O)[O-])NCC1=CN=C(S1)Cl,37.3834691837,127.1226706167,True,살균.살충제,목도열병,벼
Bromobutide+Pyraclonil,Low Toxicity (IV),Rank III,0.01,0.0625,CC(C)(C)C(C(=O)NC(C)(C)C1=CC=CC=C1)Br.CN(CC#C)C1=C(C=NN1C2=NN3CCCCC3=C2Cl)C#N,37.3834691837,127.1226706167,True,제초제,"일년생잡초(피, 물달개비, 밭뚝외풀, 자귀풀, 알방동사니, 가막사리, 여뀌바늘)",기계이앙벼(어린모)
Fentrazamide+metazosulfuron,Low Toxicity (IV),Rank III,0.01,0.0625,CCN(C1CCCCC1)C(=O)N2C(=O)N(N=N2)C3=CC=CC=C3Cl.CC1CON=C(O1)C2=C(N(N=C2Cl)C)S(=O)(=O)NC(=O)NC3=NC(=CC(=N3)OC)OC,37.3834691837,127.1226706167,True,제초제,"일년생잡초(피, 물달개비, 밭뚝외풀, 자귀풀, 여뀌, 알방동사니) 및 다년생잡초(벗풀, 올챙이고랭이, 올방개)",기계이앙벼(어린모)
Benfuresate+Carfentrazone-ethyl+Penoxsulam,Low Toxicity (IV),Rank III,0.01,0.0625,CCS(=O)(=O)OC1=CC2=C(C=C1)OCC2(C)C.CCOC(=O)C(CC1=CC(=C(C=C1Cl)F)N2C(=O)N(C(=N2)C)C(F)F)Cl.COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC,37.3038691408,126.7673552476,True,제초제,"일년생잡초(피,가막사리,물달개비,밭뚝외풀,여뀌바늘) 및 다년생잡초(벗풀,올방개,올챙이고랭이)",기계이앙벼(어린모)
S-metolachlor+Thiobencarb(benthiocarb),Low Toxicity (IV),Rank III,0.01,0.0625,CCC1=CC=CC(=C1N(C(C)COC)C(=O)CCl)C.[SMILES_NOT_FOUND: Thiobencarb(benthiocarb)],,,False,제초제,일년생잡초,무밭
Tetraconazole+Thifluzamide,Low Toxicity (IV),Rank II,0.01,0.25,C1=CC(=C(C=C1Cl)Cl)C(CN2C=NC=N2)COC(C(F)F)(F)F.CC1=NC(=C(S1)C(=O)NC2=C(C=C(C=C2Br)OC(F)(F)F)Br)C(F)(F)F,37.303252115,126.7681510928,True,살균제,갈색잎마름병,잔디
cyenopyrafen+Etoxazole,Low Toxicity (IV),Rank III,0.01,0.0625,CC1=C(N(N=C1C)C)C(=C(C#N)C2=CC=C(C=C2)C(C)(C)C)OC(=O)C(C)(C)C.CCOC1=C(C=CC(=C1)C(C)(C)C)C2COC(=N2)C3=C(C=CC=C3F)F,,,True,살충제,줄기썩음병,작약
Buprofezin+spinetoram,Low Toxicity (IV),Rank III,0.01,0.0625,CC(C)N1C(=NC(C)(C)C)SCN(C1=O)C2=CC=CC=C2.CCC1CCCC(C(C(=O)C2=CC3C(C2CC(=O)O1)CCC4C3CC(C4)OC5C(C(C(C(O5)C)OC)OCC)OC)C)OC6CCC(C(O6)C)N(C)C,37.3038691408,126.7673552476,True,살충제,꽃노랑총채벌레,참외
Glyphosate-isopropylamine+MCPA,Low Toxicity (IV),Rank III,0.01,0.0625,[SMILES_NOT_FOUND: Glyphosate-isopropylamine].CC1=C(C=CC(=C1)Cl)OCC(=O)O,37.303252115,126.7681510928,False,제초제,일년생잡초 및 다년생잡초,배밭
Bentazone+MCPA,Low Toxicity (IV),Rank III,0.01,0.0625,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O.CC1=C(C=CC(=C1)Cl)OCC(=O)O,37.303252115,126.7681510928,True,제초제,"난방제잡초(올방개,벗풀)",기계이앙벼(어린모)
Indoxacarb,Low Toxicity (IV),Rank I,0.01,1.0,COC(=O)C12CC3=C(C1=NN(CO2)C(=O)N(C4=CC=C(C=C4)OC(F)(F)F)C(=O)OC)C=CC(=C3)Cl,37.4338041322,127.1700933423,True,살충제,담배나방,고추
Flusulfamide,Low Toxicity (IV),Rank I,0.01,1.0,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NS(=O)(=O)C2=CC(=C(C=C2)Cl)C(F)(F)F,37.3834773323,127.1227388669,True,살균제,뿌리혹병,녹색꽃양배추(브로콜리)
Bentazone+Penoxsulam,Low Toxicity (IV),Rank III,0.01,0.0625,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O.COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC,37.3834773323,127.1227388669,True,제초제,"일년생잡초(피,물달개비,밭뚝외풀,알방동사니) 및 다년생잡초(올방개,올챙이고랭이,벗풀)",기계이앙벼(어린모)
Bromobutide+Penoxsulam,Low Toxicity (IV),Rank III,0.01,0.0625,CC(C)(C)C(C(=O)NC(C)(C)C1=CC=CC=C1)Br.COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC,37.303252115,126.7681510928,True,제초제,"일년생잡초(피, 가막사리, 물달개비, 밭뚝외풀, 여뀌바늘) 및 다년생잡초(벗풀, 올방개, 올챙이고랭이)",기계이앙벼(어린모)
Azimsulfuron+Mefenacet+Mesotrione,Low Toxicity (IV),Rank III,0.01,0.0625,CN1C(=C(C=N1)C2=NN(N=N2)C)S(=O)(=O)NC(=O)NC3=NC(=CC(=N3)OC)OC.CN(C1=CC=CC=C1)C(=O)COC2=NC3=CC=CC=C3S2.CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],37.3834691837,127.1226706167,True,제초제,"일년생잡초(피, 물달개비, 밭뚝외풀, 자귀풀, 알방동사니, 가막사리, 사마귀풀) 및 다년생잡초(올방개, 올챙이고랭이, 벗풀)",기계이앙벼(어린모)
Thiamethoxam,Low Toxicity (IV),Rank III,0.01,0.0625,CN1COCN(C1=N[N+](=O)[O-])CC2=CN=C(S2)Cl,37.4338041322,127.1700933423,True,살충제,조팝나무진딧물,사과
Probenazole+Imidacloprid,Low Toxicity (IV),Rank III,0.01,0.0625,C=CCOC1=NS(=O)(=O)C2=CC=CC=C21.C1CN(C(=N[N+](=O)[O-])N1)CC2=CN=C(C=C2)Cl,37.3834691837,127.1226706167,True,살균.살충제,세균벼알마름병,벼
Difenoconazole+Dithianon,Low Toxicity (IV),Rank I,0.01,1.0,CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl.C1=CC=C2C(=C1)C(=O)C3=C(C2=O)SC(=C(S3)C#N)C#N,37.303252115,126.7681510928,True,살균제,갈색무늬병,사과
Etofenprox+Pyridalyl,Low Toxicity (IV),Rank II,0.01,0.25,CCOC1=CC=C(C=C1)C(C)(C)COCC2=CC(=CC=C2)OC3=CC=CC=C3.C1=CC(=NC=C1C(F)(F)F)OCCCOC2=C(C=C(C=C2Cl)OCC=C(Cl)Cl)Cl,37.303252115,126.7681510928,True,살충제,담배나방,고추(단고추류포함)
Tiadinil+Thiamethoxam,Low Toxicity (IV),Rank III,0.01,0.0625,CC1=C(C=C(C=C1)NC(=O)C2=C(N=NS2)C)Cl.CN1COCN(C1=N[N+](=O)[O-])CC2=CN=C(S2)Cl,37.3834691837,127.1226706167,True,살균.살충제,이삭누룩병,벼
Acetamiprid+sulfoxaflor,Low Toxicity (IV),Rank III,0.01,0.0625,CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl.CC(C1=CN=C(C=C1)C(F)(F)F)S(=NC#N)(=O)C,37.3834691837,127.1226706167,True,살충제,목화진딧물,수박(복수박포함)
Fentrazamide+Simetryn,Low Toxicity (IV),Rank III,0.01,0.0625,CCN(C1CCCCC1)C(=O)N2C(=O)N(N=N2)C3=CC=CC=C3Cl.CCNC1=NC(=NC(=N1)SC)NCC,37.303252115,126.7681510928,True,제초제,"일년생잡초(피,물달개비,가막사리,여뀌바늘,밭뚝외풀)",기계이앙벼(어린모)
Buprofezin+Lambda-cyhalothrin,Avg Toxicity (III),Rank I,0.1,1.0,CC(C)N1C(=NC(C)(C)C)SCN(C1=O)C2=CC=CC=C2.CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(C(F)(F)F)Cl)C,37.3834691837,127.1226706167,True,살충제,벚나무깍지벌레,살구
Propiconazole,Low Toxicity (IV),Rank III,0.01,0.0625,CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,37.303252115,126.7681510928,True,살균제,흑색썩음균핵병,양파
Bentazone+MCPA,Avg Toxicity (III),Rank III,0.1,0.0625,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O.CC1=C(C=CC(=C1)Cl)OCC(=O)O,37.3038691408,126.7673552476,True,제초제,일년생 및 다년생광엽잡초,한국잔디
Bifenthrin+Etoxazole,Avg Toxicity (III),Rank I,0.1,1.0,CC1=C(C=CC=C1C2=CC=CC=C2)COC(=O)C3C(C3(C)C)C=C(C(F)(F)F)Cl.CCOC1=C(C=CC(=C1)C(C)(C)C)C2COC(=N2)C3=C(C=CC=C3F)F,37.3038691408,126.7673552476,True,살충제,점박이응애,복숭아
Propiconazole,Avg Toxicity (III),Rank II,0.1,0.25,CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,37.4339530685,127.1701632418,True,살균제,흰가루병,장미
azimsulfuron+benfuresate,Low Toxicity (IV),Rank III,0.01,0.0625,CN1C(=C(C=N1)C2=NN(N=N2)C)S(=O)(=O)NC(=O)NC3=NC(=CC(=N3)OC)OC.CCS(=O)(=O)OC1=CC2=C(C=C1)OCC2(C)C,37.3834691837,127.1226706167,True,제초제,난방제잡초(올방개),기계이앙벼(어린모)
clothianidin+flufenoxuron,Low Toxicity (IV),Rank III,0.01,0.0625,CNC(=N[N+](=O)[O-])NCC1=CN=C(S1)Cl.C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=C(C=C(C=C2)OC3=C(C=C(C=C3)C(F)(F)F)Cl)F)F,,,True,살충제,파밤나방,참외
mepiquat chloride,Avg Toxicity (III),Rank III,0.1,0.0625,C[N+]1(CCCCC1)C.[Cl-],37.4339530685,127.1701632418,True,생장조정제,착립증진,포도(거봉)
bacillus subtilis M27,Low Toxicity (IV),Rank III,0.01,0.0625,[SMILES_NOT_FOUND: bacillus subtilis M27],37.3834773323,127.1227388669,False,살균제,균핵병,상추
Cyantraniliprole,Low Toxicity (IV),Rank III,0.01,0.0625,CC1=CC(=CC(=C1NC(=O)C2=CC(=NN2C3=C(C=CC=N3)Cl)Br)C(=O)NC)C#N,37.3834773323,127.1227388669,True,살충제,귤굴나방,감귤
benzobicyclon+imazosulfuron+metamifop,Low Toxicity (IV),Rank III,0.01,0.0625,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2=C(C3CCC(C3)C2=O)SC4=CC=CC=C4)Cl.COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(N=C3N2C=CC=C3)Cl)OC.CC(C(=O)N(C)C1=CC=CC=C1F)OC2=CC=C(C=C2)OC3=NC4=C(O3)C=C(C=C4)Cl,37.3834773323,127.1227388669,True,제초제,"일년생(피,  물달개비, 자귀풀, 마디꽃, 가막사리) 및 다년생 잡초(올방개, 올챙이고랭이, 벗풀, 올미)",기계이앙벼(어린모)
Bromobutide+Imazosulfuron+Penoxsulam,Low Toxicity (IV),Rank III,0.01,0.0625,CC(C)(C)C(C(=O)NC(C)(C)C1=CC=CC=C1)Br.COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(N=C3N2C=CC=C3)Cl)OC.COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC,37.3834773323,127.1227388669,True,제초제,복숭아순나방,자두
imidacloprid+spinetoram,Low Toxicity (IV),Rank III,0.01,0.0625,C1CN(C(=N[N+](=O)[O-])N1)CC2=CN=C(C=C2)Cl.CCC1CCCC(C(C(=O)C2=CC3C(C2CC(=O)O1)CCC4C3CC(C4)OC5C(C(C(C(O5)C)OC)OCC)OC)C)OC6CCC(C(O6)C)N(C)C,37.3834773323,127.1227388669,True,살충제,꽃노랑총채벌레,거베라
